  ilv   flv            5K           10K           20K           30K           50K           80K          100K          150K          200K          300K
--------------------------------------------------------------------------------------------------------------------------------------------------------
    2     1    1.5841E-12    2.0182E-12    2.1994E-12    2.3892E-12    2.7500E-12    3.1369E-12    3.3194E-12    3.6260E-12    3.8152E-12    4.0356E-12
    3     1    1.8618E-12    3.7303E-12    5.7827E-12    6.9792E-12    8.5585E-12    1.0090E-11    1.0842E-11    1.2260E-11    1.3323E-11    1.4935E-11
    3     2    3.4663E-12    4.3725E-12    4.4669E-12    4.4867E-12    4.6599E-12    4.9667E-12    5.1509E-12    5.5247E-12    5.8018E-12    6.1736E-12
    4     1    1.2965E-12    1.5338E-12    1.4959E-12    1.4413E-12    1.3723E-12    1.2959E-12    1.2524E-12    1.1632E-12    1.0962E-12    1.0024E-12
    4     2    8.0940E-13    9.2529E-13    7.3114E-13    6.0525E-13    5.1292E-13    5.0302E-13    5.1877E-13    5.6795E-13    6.0836E-13    6.5402E-13
    4     3    2.0544E-12    2.5838E-12    2.4504E-12    2.3838E-12    2.4554E-12    2.6444E-12    2.7614E-12    3.0020E-12    3.1805E-12    3.4086E-12
    5     1    2.0193E-13    2.0422E-13    1.3173E-13    8.8905E-14    4.9563E-14    2.7640E-14    2.0913E-14    1.2917E-14    9.5617E-15    6.8837E-15
    5     2    2.6500E-12    3.0748E-12    2.7505E-12    2.5066E-12    2.2606E-12    2.0734E-12    1.9883E-12    1.8393E-12    1.7473E-12    1.6607E-12
    5     3    1.0225E-12    1.2136E-12    9.7967E-13    8.4648E-13    8.0756E-13    8.8972E-13    9.4782E-13    1.0507E-12    1.1077E-12    1.1555E-12
    5     4    2.2617E-12    3.1105E-12    3.4315E-12    3.7408E-12    4.3307E-12    4.8853E-12    5.1088E-12    5.4464E-12    5.6571E-12    5.9579E-12
    6     1    4.6622E-13    4.3860E-13    3.3052E-13    2.9974E-13    3.1683E-13    3.6606E-13    3.9046E-13    4.2466E-13    4.3858E-13    4.4658E-13
    6     2    2.2075E-12    2.5726E-12    2.4347E-12    2.3989E-12    2.5139E-12    2.7267E-12    2.8419E-12    3.0525E-12    3.1938E-12    3.3612E-12
    6     3    9.6301E-13    1.0938E-12    8.4610E-13    6.8742E-13    5.8023E-13    5.9376E-13    6.3137E-13    7.2861E-13    8.0472E-13    9.0273E-13
    6     4    2.2409E-12    2.8504E-12    2.9582E-12    3.0592E-12    3.3128E-12    3.5828E-12    3.7011E-12    3.8995E-12    4.0385E-12    4.2480E-12
    6     5    2.3282E-12    4.7594E-12    7.2334E-12    8.6801E-12    1.0615E-11    1.2424E-11    1.3275E-11    1.4814E-11    1.5901E-11    1.7416E-11
    7     1    3.8532E-13    3.7054E-13    2.3833E-13    1.6281E-13    9.3020E-14    5.3291E-14    4.0813E-14    2.5659E-14    1.9182E-14    1.4066E-14
    7     2    6.0155E-13    6.1873E-13    4.3855E-13    3.3680E-13    2.5564E-13    2.2412E-13    2.1891E-13    2.1827E-13    2.2124E-13    2.2572E-13
    7     3    2.7062E-12    3.2729E-12    3.1155E-12    3.0007E-12    2.9579E-12    2.9799E-12    2.9982E-12    3.0386E-12    3.0699E-12    3.1010E-12
    7     4    3.9198E-12    7.9314E-12    1.1762E-11    1.3821E-11    1.6536E-11    1.9252E-11    2.0642E-11    2.3400E-11    2.5557E-11    2.8790E-11
    7     5    2.5062E-12    3.0272E-12    2.9601E-12    2.9853E-12    3.2095E-12    3.5374E-12    3.7105E-12    4.0409E-12    4.2889E-12    4.6568E-12
    7     6    1.9000E-12    2.7077E-12    2.8222E-12    2.7616E-12    2.7340E-12    2.7980E-12    2.8566E-12    3.0071E-12    3.1506E-12    3.4071E-12
    8     1    1.2253E-12    1.2613E-12    1.0374E-12    8.8426E-13    7.2960E-13    6.4746E-13    6.3201E-13    6.4220E-13    6.7460E-13    7.4240E-13
    8     2    3.6917E-12    6.4338E-12    9.2069E-12    1.0702E-11    1.2611E-11    1.4458E-11    1.5377E-11    1.7144E-11    1.8513E-11    2.0668E-11
    8     3    4.1503E-12    5.3423E-12    5.7319E-12    5.9747E-12    6.4512E-12    6.9664E-12    7.2036E-12    7.5974E-12    7.8517E-12    8.1956E-12
    8     4    5.5205E-13    5.9950E-13    4.6587E-13    3.9321E-13    3.6026E-13    3.9290E-13    4.2377E-13    4.8959E-13    5.3391E-13    5.8096E-13
    8     5    8.9806E-13    1.0899E-12    1.0574E-12    1.0832E-12    1.2275E-12    1.4419E-12    1.5608E-12    1.8005E-12    1.9845E-12    2.2370E-12
    8     6    1.8109E-12    2.3440E-12    2.1911E-12    2.0081E-12    1.8748E-12    1.9150E-12    1.9918E-12    2.2207E-12    2.4568E-12    2.9332E-12
    8     7    9.6083E-13    1.1403E-12    9.2454E-13    7.8931E-13    7.1501E-13    7.5149E-13    7.9483E-13    8.9129E-13    9.5568E-13    1.0152E-12
    9     1    5.3593E-13    5.8121E-13    6.0560E-13    6.6454E-13    7.9314E-13    9.4282E-13    1.0198E-12    1.1707E-12    1.2887E-12    1.4691E-12
    9     2    9.7077E-13    9.1632E-13    6.8453E-13    5.8334E-13    5.5233E-13    6.2954E-13    6.9657E-13    8.4632E-13    9.5533E-13    1.0829E-12
    9     3    2.7118E-12    3.2171E-12    3.0796E-12    2.9736E-12    2.9968E-12    3.1904E-12    3.3306E-12    3.6492E-12    3.9216E-12    4.3712E-12
    9     4    2.5346E-12    4.3888E-12    5.9404E-12    6.7281E-12    7.7467E-12    8.7159E-12    9.1861E-12    1.0074E-11    1.0740E-11    1.1705E-11
    9     5    1.6062E-12    1.9437E-12    1.7774E-12    1.5764E-12    1.3409E-12    1.1900E-12    1.1450E-12    1.1052E-12    1.1068E-12    1.1470E-12
